Steps,evalloss,Perplexity
11,9.953817367553711,21032.357571100027
22,9.720650672912598,16658.080165440475
33,9.722943305969238,16696.31484298344
44,9.588072776794434,14589.72476629633
55,9.479609489440918,13090.073703936465
66,9.434041976928711,12506.977617240242
77,9.345418930053711,11446.267004925268
88,9.325193405151367,11217.08571510191
99,9.305307388305664,10996.225849389077
110,9.27171516418457,10632.973550801433
121,9.388542175292969,11950.664652786214
132,9.402332305908203,12116.607435875583
143,9.384639739990234,11904.118837241438
154,9.413341522216797,12250.738773764178
165,9.395753860473633,12037.160599855617
176,9.363680839538574,11657.218018465426
187,9.346746444702148,11461.47218235912
198,9.291712760925293,10847.74779501482
209,9.341666221618652,11403.392999322752
220,9.339629173278809,11380.187380053436
231,9.44917106628418,12697.635401894415
242,9.434196472167969,12508.910035010438
253,9.416436195373535,12288.709529432885
264,9.40234088897705,12116.711433997716
275,9.388649940490723,11951.952587921858
286,9.407845497131348,12183.593092341443
297,9.408710479736328,12194.136247598066
308,9.370160102844238,11732.993422723914
319,9.344245910644531,11432.848183373564
330,9.371694564819336,11751.011075151095
341,9.374715805053711,11786.567387640689
352,9.52941608428955,13758.554901647138
363,9.504661560058594,13422.149378838214
374,9.506649017333984,13448.851853496797
385,9.471195220947266,12980.392400276853
396,9.481538772583008,13115.352539637033
407,9.485671997070312,13169.673418774666
418,9.440751075744629,12591.17027859861
429,9.401927947998047,12111.708980246012
440,9.379312515258789,11840.871536833316
451,9.36956787109375,11726.046828690514
462,9.590429306030273,14624.146421139676
473,9.722777366638184,16693.54449752831
484,9.703168869018555,16369.397573040864
495,9.6189603805542,15047.39823609199
506,9.604161262512207,14826.349709368038
517,9.552961349487305,14086.347564814856
528,9.590788841247559,14629.405262113427
539,9.539180755615234,13893.56073927509
550,9.512530326843262,13528.181767011962
561,9.549271583557129,14034.46801005535
572,9.754002571105957,17223.02742369167
583,9.893305778503418,19797.397695076525
594,9.941230773925781,20769.290863151375
605,9.881479263305664,19564.642524521212
616,9.839722633361816,18764.510648820655
627,9.830485343933105,18591.97553817714
638,9.80345630645752,18096.182917131347
649,9.807278633117676,18165.4848023883
660,9.768152236938477,17468.45980456482
671,9.731500625610352,16839.8036099335
682,9.856426239013672,19080.578018492608
693,10.093891143798828,24194.75477454798
704,10.123339653015137,24917.8490012729
715,10.171586990356445,26149.542924571946
726,10.180248260498047,26377.014855812697
737,10.187877655029297,26579.02513689332
748,10.17387866973877,26209.538011444383
759,10.199262619018555,26883.35548879293
770,10.176280975341797,26272.577020627632
781,10.089066505432129,24078.304972366248
792,10.117642402648926,24776.289410044392
803,10.346784591674805,31156.700071812134
814,10.48629379272461,35821.15045335137
825,10.557062149047852,38448.00734632163
836,10.591134071350098,39780.577567710934
847,10.646198272705078,42032.4943320016
858,10.594987869262695,39934.17966010979
869,10.654945373535156,42401.76948708268
880,10.6128511428833,40653.94437578771
891,10.587922096252441,39653.00832747983
902,10.525263786315918,37244.65733660919
913,10.732069969177246,45801.40145907518
924,10.915932655334473,55046.45011522136
935,10.983656883239746,58903.564358889016
946,11.05148696899414,63037.619935839015
957,11.116573333740234,67276.97509820595
968,11.180499076843262,71718.14599915096
979,11.170928001403809,71035.00064625024
990,11.145329475402832,69239.68607435406
1001,11.198378562927246,73011.9615040368
1012,11.17892837524414,71605.5866142883
1023,11.242698669433594,76320.63829059711
1034,11.418418884277344,90982.17473488307
1045,11.533156394958496,102043.6962315318
1056,11.6120023727417,110415.12141027892
1067,11.652083396911621,114930.55977353871
1078,11.73745346069336,125173.17539931157
1089,11.788710594177246,131756.47274317115
1100,11.8878812789917,145492.7125819137
1111,11.867829322814941,142604.35447906554
1122,11.847733497619629,139767.20520668462
1133,11.887517929077148,145439.85742027004
1144,12.06668472290039,173978.1025564316
1155,12.170615196228027,193032.7603499152
1166,12.223942756652832,203606.14738644857
1177,12.322016716003418,224586.61305239468
1188,12.367876052856445,235125.81970669224
1199,12.443320274353027,253551.00231805773
1210,12.412753105163574,245917.92109729908
1221,12.444977760314941,253971.6080227619
1232,12.499541282653809,268214.22378058214
1243,12.498085975646973,267824.17363157985
1254,12.620903015136719,302822.77583476884
1265,12.730081558227539,337756.85720692907
1276,12.823432922363281,370805.4914735093
1287,12.8818359375,393106.53577033
1298,12.92940902709961,412259.80617453594
1309,13.00216293334961,443371.33830234123
1320,13.018206596374512,450542.00673329463
1331,13.069540023803711,474273.77759711095
1342,13.122795104980469,500215.91039195145
1353,13.102150917053223,489995.2210368473
1364,13.136528015136719,507132.71577690565
1375,13.22494888305664,554016.0204309126
1386,13.384326934814453,649739.5925897396
1397,13.406262397766113,664149.3964243832
1408,13.499846458435059,729304.3827143409
1419,13.545854568481445,763642.1500870779
1430,13.5198392868042,744031.9725907679
1441,13.624502182006836,826125.6685287765
1452,13.626274108886719,827590.800477002
1463,13.6519775390625,849138.4609192595
1474,13.676194190979004,869952.7605855201
1485,13.737540245056152,924991.8864550546
1496,13.881816864013672,1068553.9715890356
1507,13.975564956665039,1173574.7101948948
1518,14.06589126586914,1284514.3483780983
1529,14.0159330368042,1221918.8839989647
1540,14.126129150390625,1364268.7794972763
1551,14.1781587600708,1437130.190926086
1562,14.178340911865234,1437391.9906121152
1573,14.21651840209961,1493328.982328655
1584,14.236978530883789,1524197.3946408844
1595,14.272961616516113,1580041.4147332518
1606,14.41696548461914,1824771.7790782463
1617,14.424302101135254,1838208.660201746
1628,14.465676307678223,1915858.3556726114
1639,14.532048225402832,2047332.3794564633
1650,14.588493347167969,2166217.998563096
1661,14.610262870788574,2213892.5760890148
1672,14.659926414489746,2326618.338624166
1683,14.65816879272461,2322532.615223035
1694,14.639719009399414,2280075.2605509534
1705,14.7247896194458,2482532.1350393007
1716,14.784624099731445,2635607.067923413
1727,14.951038360595703,3112816.0619127015
1738,14.907449722290039,2980047.2745241625
1749,14.993443489074707,3247654.135034245
1760,14.980881690979004,3207112.9278462175
1771,15.060476303100586,3472815.8364662165
1782,15.122886657714844,3696461.829160549
1793,15.14544677734375,3780802.2379657105
1804,15.148712158203125,3793168.17598744
1815,15.210419654846191,4034607.797532919
1826,15.201093673706055,3997156.0299877133
1837,15.293801307678223,4385443.450678133
1848,15.2893648147583,4366030.556283881
1859,15.361663818359375,4693381.19775509
1870,15.447644233703613,5114776.35834661
1881,15.49402141571045,5357571.84123813
1892,15.590580940246582,5900696.426186002
1903,15.557326316833496,5707697.822224269
1914,15.652602195739746,6278252.251062757
1925,15.635239601135254,6170186.369229877
1936,15.676311492919922,6428883.827708746
1947,15.757987976074219,6976012.078977242
1958,15.818570137023926,7411698.120105752
1969,15.927265167236328,8262726.429431268
1980,15.948400497436523,8439220.44049957
1991,15.939736366271973,8366417.769047452
2002,15.932930946350098,8309674.0841897875
2013,16.055131912231445,9389775.215921886
2024,15.99032974243164,8800593.694278179
2035,16.05856704711914,9422085.824230136
2046,16.076244354248047,9590123.782653859
2057,16.100849151611328,9829013.70225047
2068,16.1678524017334,10510154.065960795
2079,16.179954528808594,10638122.066688702
2090,16.3581485748291,12713164.315275429
2101,16.31158447265625,12134758.218763936
2112,16.329809188842773,12357938.262548568
2123,16.389549255371094,13118700.05465263
2134,16.42365264892578,13573808.508588232
2145,16.388296127319336,13102270.939653909
2156,16.519289016723633,14936060.528560428
2167,16.551559448242188,15425915.045643883
2178,16.51593589782715,14886062.014091035
2189,16.566051483154297,15651095.6667428
2200,16.683332443237305,17598644.55702566
2211,16.59539794921875,16117205.907496149
2222,16.609663009643555,16348766.509925222
2233,16.711830139160156,18107379.840994034
2244,16.61389923095703,16418170.404401114
2255,16.688188552856445,17684313.34430189
2266,16.766695022583008,19128597.462133374
2277,16.843414306640625,20653891.431029473
2288,16.872604370117188,21265665.252912834
2299,16.901302337646484,21884787.91435387
2310,16.877819061279297,21376848.771468326
2321,16.94945526123047,22964388.805875327
2332,16.927440643310547,22464360.718640633
2343,17.054004669189453,25495299.73928891
2354,16.947355270385742,22916214.400237583
2365,16.969558715820312,23430724.123219885
2376,17.02341079711914,24727110.65678288
2387,17.070140838623047,25910033.322477408
2398,17.128097534179688,27456061.85596284
2409,17.154380798339844,28187263.877477445
2420,17.127103805541992,27428791.532912835
2431,17.190141677856445,29213505.51234921
2442,17.20195960998535,29560796.8283578
2453,17.217666625976562,30028774.38110336
2464,17.238595962524414,30663879.689476572
2475,17.226926803588867,30308137.64577563
2486,17.302139282226562,32675603.341341946
2497,17.36486053466797,34790695.37346055
2508,17.39751625061035,35945564.348487355
2519,17.40540313720703,36230183.843651436
2530,17.453407287597656,38011803.48927527
2541,17.45174789428711,37948779.26229556
2552,17.52539825439453,40849218.75629604
2563,17.518112182617188,40552670.06581304
2574,17.533523559570312,41182483.22913196
2585,17.559528350830078,42267471.41182894
2596,17.493921279907227,39583434.97144282
2607,17.54632568359375,41713095.72349103
2618,17.619749069213867,44891053.062430285
2629,17.63500213623047,45581028.04336319
2640,17.644990921020508,46038608.65550936
2651,17.612754821777344,44578169.398017675
2662,17.763267517089844,51819004.23601235
2673,17.678022384643555,47584725.96614849
2684,17.725034713745117,49875213.49392636
2695,17.738426208496094,50547609.2975874
2706,17.74807357788086,51037620.615580626
2717,17.748737335205078,51071508.455481716
2728,17.76923179626465,52128990.747966185
2739,17.86902618408203,57599600.16614425
2750,17.801328659057617,53829309.28588874
2761,17.794076919555664,53440365.12272602
2772,17.828651428222656,55320352.0278282
2783,17.915325164794922,60329101.95710736
2794,17.908977508544922,59947366.40082072
2805,17.906129837036133,59776898.82651818
2816,18.045072555541992,68687140.45030679
2827,18.008798599243164,66240233.9072259
2838,18.03439712524414,67957775.73795786
2849,18.06871795654297,70330629.33385485
2860,18.076112747192383,70852637.30511108
2871,18.13683319091797,75288141.0444611
2882,18.065082550048828,70075413.09570427
2893,18.083080291748047,71348030.04377267
2904,18.099227905273438,72509482.56509599
2915,18.191970825195312,79555927.6860186
2926,18.243322372436523,83747960.19033355
2937,18.238630294799805,83355928.69953264
2948,18.24603843688965,83975734.23249368
2959,18.209213256835938,80939559.64097193
2970,18.151979446411133,76437154.12105435
2981,18.267087936401367,85762116.67850909
2992,18.321325302124023,90542082.63878885
3003,18.336374282836914,91914952.93381539
3014,18.27902603149414,86792088.70231268
3025,18.38421058654785,96418686.73056392
3036,18.4060001373291,98542662.80839486
3047,18.423625946044922,100294954.34612626
3058,18.376598358154297,95687512.13050802
3069,18.474609375,105540927.60127923
3080,18.440685272216797,102020595.97786565
3091,18.390947341918945,97070428.68444474
3102,18.454776763916016,103468395.22739504
3113,18.46434783935547,104463453.3357731
3124,18.3892879486084,96909484.23643525
3135,18.4978084564209,108018002.00406703
3146,18.479568481445312,106065616.21363701
3157,18.55237579345703,114076039.07732241
3168,18.555042266845703,114380625.70540676
3179,18.555858612060547,114474037.90498562
3190,18.637889862060547,124260392.59520988
3201,18.569868087768555,116089045.44859831
3212,18.57748794555664,116977006.2367234
3223,18.667211532592773,127957857.90958725
3234,18.70555877685547,132959985.079769
3245,18.71985626220703,134874633.2301175
3256,18.668834686279297,128165721.83028042
3267,18.699779510498047,132193790.0662165
3278,18.740432739257812,137678627.2532938
3289,18.80974578857422,147560052.80899912
3300,18.76825714111328,141563245.67841995
3311,18.682655334472656,129949352.2555581
3322,18.75369644165039,139516919.9242691
3333,18.800920486450195,146263520.3221067
3344,18.782655715942383,143616299.720871
3355,18.72967529296875,136205494.59439927
3366,18.8050479888916,146868470.96811706
3377,18.9000244140625,161501407.22596648
3388,18.933208465576172,166950591.2080988
3399,18.946216583251953,169136490.53931874
3410,18.976091384887695,174265644.39377087
3421,18.932903289794922,166899649.70444867
3432,18.996538162231445,177865492.45419303
3443,19.001379013061523,178728600.1733484
3454,18.994613647460938,177523516.86089104
3465,18.99695587158203,177939804.052782
3476,18.99016761779785,176735994.01126546
3487,18.99135971069336,176946805.3624988
3498,19.038724899291992,185529582.05498627
3509,19.061372756958008,189779372.29384252
3520,19.09164047241211,195611375.81008375
3531,19.099536895751953,197162120.65460578
3542,19.07585906982422,192548585.07059133
3553,19.15972328186035,209392969.60927054
3564,19.126657485961914,202582442.67149088
3575,19.116621017456055,200559399.45240703
3586,19.15618324279785,208653020.81400603
3597,19.14838218688965,207031639.39937374
3608,19.202299118041992,218500556.20165092
3619,19.29457664489746,239622815.96403617
3630,19.256776809692383,230734166.09642327
3641,19.30379867553711,241842845.77260205
3652,19.286457061767578,237685056.1369814
3663,19.238941192626953,226655361.9849895
3674,19.300939559936523,241152376.65523177
3685,19.282304763793945,236700163.15967003
3696,19.283018112182617,236869073.07830477
3707,19.273508071899414,234627116.09909666
3718,19.247901916503906,228695484.9373115
3729,19.429109573364258,274129059.45450944
3740,19.323143005371094,246566675.90825856
3751,19.37286949157715,259137532.32834932
3762,19.394248962402344,264737403.4831714
3773,19.3725643157959,259058461.89527407
3784,19.39032745361328,263701266.36685205
3795,19.329500198364258,248139140.78826556
3806,19.381885528564453,261484490.13536727
3817,19.387792587280273,263033665.40184733
3828,19.374279022216797,259503052.16523656
3839,19.371145248413086,258691101.19819617
3850,19.446680068969727,278988206.6916184
3861,19.420190811157227,271695037.92318064
3872,19.490262985229492,291416182.9124415
3883,19.457868576049805,282127195.77270156
3894,19.483394622802734,289421488.93330127
3905,19.47964096069336,288337134.8792266
3916,19.509056091308594,296944583.3495467
3927,19.51287269592285,298080068.8878755
3938,19.50836944580078,296740757.671322
3949,19.45313262939453,280794215.3770151
3960,19.54996109008789,309342950.0391906
3971,19.560115814208984,312500245.9589262
3982,19.530115127563477,303264259.68853706
3993,19.603273391723633,326282259.603511
4004,19.579423904418945,318592656.0292645
4015,19.54088592529297,306548311.8705835
4026,19.643444061279297,339656055.22471
4037,19.625520706176758,333622511.3295229
4048,19.5858211517334,320637305.1323822
4059,19.606094360351562,327203991.0982664
4070,19.600187301635742,325276875.3074851
4081,19.530223846435547,303297232.029115
4092,19.603015899658203,326198255.3262541
4103,19.5880069732666,321338927.58967453
4114,19.630699157714844,335354640.33874214
4125,19.6134090423584,329606159.08140826
4136,19.63800621032715,337814068.9837136
4147,19.64293098449707,339481830.2880385
4158,19.706201553344727,361655100.05505973
4169,19.59065818786621,322191996.3804588
4180,19.68097496032715,352645887.6695958
4191,19.770606994628906,385714105.866373
4202,19.747060775756836,376738087.46107084
4213,19.71185302734375,363704770.8247722
4224,19.76351547241211,382988481.5505415
4235,19.739948272705078,374068043.26896286
4246,19.754077911376953,379391006.7755122
4257,19.70111846923828,359821441.03360194
4268,19.67244529724121,349650729.06543696
4279,19.749162673950195,377530785.35977215
4290,19.74152946472168,374659984.5357188
4301,19.753198623657227,379057559.54179233
4312,19.736417770385742,372749723.7090876
4323,19.73816680908203,373402247.87855047
4334,19.76555824279785,383771638.7115242
4345,19.73725700378418,373062679.02939296
4356,19.80584144592285,399546793.2797485
4367,19.786996841430664,392087991.79519516
4378,19.83841323852539,412775012.48364544
4389,19.79058837890625,393498722.34083205
4400,19.813507080078125,402621341.9520769
4411,19.827669143676758,408363857.963253
4422,19.77916717529297,389030060.63472
4433,19.784351348876953,391052096.76295245
4444,19.80429458618164,398929228.1969174
4455,19.763975143432617,383164570.72514325
4466,19.7894344329834,393044907.98351115
4477,19.81011390686035,401257493.193771
4488,19.797435760498047,396202404.2556003
4499,19.707448959350586,362106512.2875491
4510,19.776187896728516,387872756.5358192
4521,19.804031372070312,398824238.2126636
4532,19.78699493408203,392087243.94741327
4543,19.765199661254883,383634049.9550359
4554,19.756244659423828,380213942.7239147
4565,19.77239418029785,386404064.9475325
4576,19.777902603149414,388538414.9832513
4587,19.817346572875977,404170175.1590318
4598,19.78761863708496,392331866.2167657
4609,19.79576301574707,395540212.7566396
4620,19.81426429748535,402926329.2970145
4631,19.851194381713867,418084608.09366083
4642,19.840795516967773,413759529.7289292
4653,19.84170913696289,414137721.4439098
4664,19.87079620361328,426360676.1341925
4675,19.858203887939453,421025469.70967156
4686,19.845346450805664,415646813.1672603
4697,19.838451385498047,412790758.901097
4708,19.782346725463867,390268969.7736448
4719,19.766550064086914,384152460.41525507
4730,19.764745712280273,383459939.1931244
4741,19.767667770385742,384582070.0839631
4752,19.767803192138672,384634154.38863355
4763,19.774255752563477,387124053.9860525
4774,19.808366775512695,400557055.7052487
4785,19.817188262939453,404106196.0686542
4796,19.79705047607422,396049783.0437332
4807,19.790512084960938,393468701.91603214
4818,19.822755813598633,406362352.5918699
4829,19.8055419921875,399427165.41245294
4840,19.82050132751465,405447246.2577457
4851,19.80469512939453,399089048.5970469
4862,19.819002151489258,404839864.86616457
4873,19.858156204223633,421005394.12946373
4884,19.835121154785156,411418356.9138093
4895,19.857812881469727,420860878.2073635
4906,19.907901763916016,442478203.6522447
4917,19.91433334350586,445333208.6903864
4928,19.886804580688477,433240942.62584347
4939,19.90943145751953,443155577.68534356
4950,19.902603149414062,440139882.6271774
4961,19.808500289916992,400610539.4122713
4972,19.808727264404297,400701478.10405433
4983,19.86663246154785,424589110.9815322
4994,19.878067016601562,429471961.9581849
5005,19.864290237426758,423595791.8663468
5016,19.851158142089844,418069457.13918763
5027,19.843303680419922,414798608.80472726
5038,19.859174728393555,421434416.746916
5049,19.852556228637695,418654363.2026574
5060,19.83715057373047,412254144.91693115
5071,19.82138442993164,405805455.8454753
5082,19.804977416992188,399201722.388285
5093,19.829160690307617,408973406.1715453
5104,19.82831573486328,408627987.8175224
5115,19.878925323486328,429840738.93921876
5126,19.903121948242188,440368285.92505413
5137,19.892019271850586,435506061.15425825
5148,19.8842830657959,432149895.26110375
5159,19.931455612182617,453023977.35163486
5170,19.89527130126953,436924645.0653579
5181,19.900859832763672,439373247.87901306
5192,19.893720626831055,436247642.22787166
5203,19.861408233642578,422376744.68429947
5214,19.85782241821289,420864891.8686054
5225,19.858041763305664,420957216.64248025
5236,19.862829208374023,422977357.99275166
5247,19.865161895751953,423965183.6331609
5258,19.878276824951172,429562078.21496785
5269,19.870323181152344,426159045.64955413
5280,19.839744567871094,413324917.9423524
5291,19.843229293823242,414767754.49549854
5302,19.849903106689453,417545094.28645486
5313,19.83643341064453,411958597.45270497
5324,19.85332489013672,418976290.4037213
5335,19.877212524414062,429105138.26824987
5346,19.961257934570312,466728340.5880436
5357,19.90929412841797,443094723.7066144
5368,19.88384437561035,431960356.9207122
5379,19.888914108276367,434155841.0089231
5390,19.881004333496094,430735311.72875404
5401,19.8437442779541,414981408.3164977
5412,19.847190856933594,416414142.11209726
5423,19.890060424804688,434653806.3837794
5434,19.885852813720703,432828794.3732239
5445,19.91827392578125,447091542.99437916
5456,19.947643280029297,460417055.93396115
5467,19.915708541870117,445946051.4841483
5478,19.923643112182617,449498516.7902944
5489,19.949745178222656,461385823.4807328
5500,19.872108459472656,426920537.69011945
5511,19.877531051635742,429241841.7064783
5522,19.887937545776367,433732067.6497019
5533,19.843017578125,414679950.9457701
5544,19.8724308013916,427058174.2573015
5555,19.89458656311035,436625568.4944515
5566,19.869096755981445,425636713.83507663
5577,19.916362762451172,446237894.023358
5588,19.908010482788086,442526311.9985566
5599,19.858217239379883,421031091.04367614
5610,19.864055633544922,423496426.30547446
5621,19.886003494262695,432894018.1644046
5632,19.902612686157227,440144080.1482096
5643,19.843339920043945,414813641.22273874
5654,19.85084342956543,417937906.1464092
5665,19.903705596923828,440625381.31396484
5676,19.901365280151367,439595384.0737272
5687,19.941173553466797,457447898.6519752
